redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,site_type,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg,median_ccg_imd_rank,median_ccg_imd_quintile,median_ccg_imd_decile,mean_ccg_imd_rank,mean_ccg_imd_quintile,mean_ccg_imd_decile,nhs_region
university_college,university_college,14142,university_college,NA,NA,-69.79484459999999,44.341809,NA,NA,NA,Acute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
east_london_founda,east_london_founda,14152,east_london_founda,NA,NA,0.0655092,51.55633,NA,NA,NA,Acute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
epsom__st_helier_n,NA,ARVR05,St Helier Hospital,SM5 1AA,England,-0.1845814,51.38063,E38000179,SM5,Sutton,Acute,21253.128246753247,-0.11400410648701298,21535.632955728757,-0.26867323116525194,17.044249653049857,16427.23948450828,22933,-0.7380143681478873,0.007467945683842942,0.05497880575978459,0.04429753978521767,0.1255351151220641,52347,2,4,59724.18668831169,2.262987012987013,3.978896103896104,London
university_hospita,NA,RXPCP1,University Hospital Of North Durham,DH1 5TW,England,-1.593417,54.7888,E38000116,DH1,County Durham,Acute,15045.11870967742,-0.6125851221006452,15541.808224138791,-0.7038017993082657,2.8407808790366476,9229.67186750205,14196,-0.828753053440559,0.03702485806097135,0.18568621901067248,0.014414511912888563,0.07817052663125822,102007,3,6,92420.49548387097,3.201290322580645,5.890322580645162,North East and Yorkshire
darlington_memoria,darlington_memoria,RXPD,Darlington Memorial Hospital,DL3 6HX,England,-1.56331,54.53039,E38000042,DL3,Darlington,Acute,14218.519444444444,-0.18152664236944444,14542.901150013264,-0.24695149721606793,3.9009781026144674,2943.0398254127717,13268,-0.851923059902834,0.17151680497139177,0.3011727482854003,0.0808608995490887,0.1635311280360729,105389,4,7,96724.40277777778,3.297222222222222,6.125,North East and Yorkshire
university_hospita,university_hospita,RXPXP,University Hospital Of North Durham,DH1 5TW,England,-1.593417,54.7888,E38000116,DH1,County Durham,Acute,15045.11870967742,-0.6125851221006452,15541.808224138791,-0.7038017993082657,2.8407808790366476,9229.67186750205,14196,-0.828753053440559,0.03702485806097135,0.18568621901067248,0.014414511912888563,0.07817052663125822,102007,3,6,92420.49548387097,3.201290322580645,5.890322580645162,North East and Yorkshire
manchester_univers,NA,R0A071,Wythenshawe Hospital,M23 9LT,England,-2.292308,53.38822,E38000217,M23,Manchester,Acute,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.33335718417019955,0.5958396190226325,149512,5,9,137187.45947712418,4.406535947712419,8.479738562091503,North West
manchester_univers,manchester_univers,R0S02,Manchester Royal Infirmary,M13 9WL,England,-2.226157,53.46287,E38000217,M13,Manchester,Acute,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.33335718417019955,0.5958396190226325,149512,5,9,137187.45947712418,4.406535947712419,8.479738562091503,North West
macclesfield_distr,NA,RJN710,Macclesfield District General Hospital,SK10 3BL,England,-2.142082,53.26183,E38000056,SK10,Cheshire East,Acute,22887.13663663664,-2.1250295922432434,23264.36630609139,-2.2467542181138023,-4.583646324256934,17455.62786775731,25685,-2.9317536239391893,0.006740221280796281,0.03692983177723851,0.00354234360218813,0.03673446304446181,38304,2,3,51331.43693693694,2.084084084084084,3.5195195195195197,North West
bolton_nhst,bolton_nhst,RMC,Royal Bolton Hospital,BL4 0JR,England,-2.433355,53.55443,E38000016,BL4,Bolton,Acute,11921.454340473507,0.35942086487598646,11802.326421856596,0.42004473405925513,-3.1251985304784933,2583.7560597247366,8023,0.029255549071999724,0.2444162638283728,0.43242794071954505,0.13818256703735016,0.2805091297970273,128763,4,8,108756.40248027057,3.597519729425028,6.793686583990981,North West
bolton_nhst,NA,RMC011,Royal Bolton Hospital,BL4 0JR,England,-2.433355,53.55443,E38000016,BL4,Bolton,Acute,11921.454340473507,0.35942086487598646,11802.326421856596,0.42004473405925513,-3.1251985304784933,2583.7560597247366,8023,0.029255549071999724,0.2444162638283728,0.43242794071954505,0.13818256703735016,0.2805091297970273,128763,4,8,108756.40248027057,3.597519729425028,6.793686583990981,North West
university_hospita,university_hospita,RTX020,Royal Lancaster Infirmary,LA1 4RP,England,-2.80002,54.04307,E38000228,LA1,Lancaster,Acute,16301.974222222223,-1.3700203317564443,16590.67727130681,-1.4579558335298073,-6.8427618555172405,2437.0089605945664,17577,-2.1569369348753993,0.10663974656707455,0.18317820574880975,0.025061428072475935,0.07608808877505377,79552,3,5,85692.432,2.989333333333333,5.511111111111111,North West
royal_preston_hosp,royal_preston_hosp,RXN,Royal Preston Hospital,PR2 9HT,England,-2.704496,53.79086,E38000227,PR2,Preston,Community,15432.874223602485,-0.5950538043338509,15414.32598724969,-0.5696365066322745,2.123128689103269,6096.627009722718,13469.118210862622,-1.638383164230303,0.13460769814940646,0.31688916423518126,0.07646688516727287,0.1896408729365682,100044,3,6,90361.56366459628,3.141304347826087,5.746894409937888,North West
royal_preston_hosp,NA,RXN026,Royal Preston Hospital,PR2 9HT,England,-2.704496,53.79086,E38000227,PR2,Preston,Community,15432.874223602485,-0.5950538043338509,15414.32598724969,-0.5696365066322745,2.123128689103269,6096.627009722718,13469.118210862622,-1.638383164230303,0.13460769814940646,0.31688916423518126,0.07646688516727287,0.1896408729365682,100044,3,6,90361.56366459628,3.141304347826087,5.746894409937888,North West
aberdeen_royal_inf,aberdeen_royal_inf,N100H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.137269,57.1547,S08000020,AB25,Aberdeen,Acute,4490.255394190872,-1.2342249549338173,4585.713222780145,-1.393999439949437,-1.1689700599023176,3583.6415830668097,4838,-1.9224017029999998,0.003947072309661449,0.03522652151286271,0.04319626707174705,0.10200676540501005,14159,2,4,15742.42531120332,2.250207468879668,3.940871369294606,Scotland
aberdeen_royal_inf,aberdeen_royal_inf,N101,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.137269,57.1547,S08000020,AB25,Aberdeen,Acute,4490.255394190872,-1.2342249549338173,4585.713222780145,-1.393999439949437,-1.1689700599023176,3583.6415830668097,4838,-1.9224017029999998,0.003947072309661449,0.03522652151286271,0.04319626707174705,0.10200676540501005,14159,2,4,15742.42531120332,2.250207468879668,3.940871369294606,Scotland
aberdeen_royal_inf,NA,N101H5,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.137269,57.1547,S08000020,AB25,Aberdeen,Acute,4490.255394190872,-1.2342249549338173,4585.713222780145,-1.393999439949437,-1.1689700599023176,3583.6415830668097,4838,-1.9224017029999998,0.003947072309661449,0.03522652151286271,0.04319626707174705,0.10200676540501005,14159,2,4,15742.42531120332,2.250207468879668,3.940871369294606,Scotland
aberdeen_royal_inf,NA,N1015,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.137269,57.1547,S08000020,AB25,Aberdeen,Acute,4490.255394190872,-1.2342249549338173,4585.713222780145,-1.393999439949437,-1.1689700599023176,3583.6415830668097,4838,-1.9224017029999998,0.003947072309661449,0.03522652151286271,0.04319626707174705,0.10200676540501005,14159,2,4,15742.42531120332,2.250207468879668,3.940871369294606,Scotland
nhs_lothian,nhs_lothian,S134H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh,Acute,3975.010717230008,0.06383157510497389,4056.477671868329,-0.09105205787707654,2.6279955707922715,1460.3250588235692,4146,-0.2911678625132751,0.04382396538408032,0.11026029099247334,0.08171870727577125,0.18743733779784033,18503,3,5,19217.248419895575,2.6218741412475954,4.6723000824402305,Scotland
nhs_lothian,nhs_lothian,S341H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh,Acute,3975.010717230008,0.06383157510497389,4056.477671868329,-0.09105205787707654,2.6279955707922715,1460.3250588235692,4146,-0.2911678625132751,0.04382396538408032,0.11026029099247334,0.08171870727577125,0.18743733779784033,18503,3,5,19217.248419895575,2.6218741412475954,4.6723000824402305,Scotland
nhs_lothian,nhs_lothian,SL116,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,EH4,Edinburgh,Acute,3975.010717230008,0.06383157510497389,4056.477671868329,-0.09105205787707654,2.6279955707922715,1460.3250588235692,4146,-0.2911678625132751,0.04382396538408032,0.11026029099247334,0.08171870727577125,0.18743733779784033,18503,3,5,19217.248419895575,2.6218741412475954,4.6723000824402305,Scotland
brighton_and_susse,brighton_and_susse,RHX01,Royal Sussex County Hospital,BN2 5BE,England,-0.1182958,50.81935,E38000021,BN2,Brighton and Hove,Acute,16395.91576673866,1.0514530423833692,16604.96889918023,0.8943553479447524,0.8816170324328322,6505.816628575543,17451,0.7662815757083322,0.08439874309084058,0.17257260333102875,0.11753344380672279,0.23492422330256907,79855,3,5,85210.04103671707,2.997840172786177,5.471922246220302,South East
east_kent_hospital,NA,RVV094,Queen Elizabeth The Queen Mother Hospital,CT9 4AN,England,1.3893987,51.37805,E38000184,CT9,Kent,Acute,11134.323788546255,0.5580432963964758,11015.678565573158,0.6080122543185578,-16.25589003786913,1458.7457523779383,10621,-0.057028583343283173,0.22257910661320854,0.3589495178334551,0.1036620809920558,0.22793734070618396,114444,4,7,112884.7334801762,3.762114537444934,7.033039647577093,South East
buckinghamshire_he,NA,RXQ020,Stoke Mandeville Hospital,HP21 8AL,England,-0.8008387,51.79839,E38000223,HP21,Aylesbury Vale,Acute,25013.512271869102,-1.6925778723555696,24946.495278284045,-1.668230469136424,-6.080487379149509,22113.0973233098,26144.79591836735,-2.323976634134752,0,0.0025783442699742953,0.004609528458228855,0.06201410019721381,33840,1,2,40157.09754562618,1.7942101950912523,2.9150409062303337,South East
buckinghamshire_he,NA,RXQ021,Stoke Mandeville Hospital,HP21 8AL,England,-0.8008387,51.79839,E38000223,HP21,Aylesbury Vale,Acute,25013.512271869102,-1.6925778723555696,24946.495278284045,-1.668230469136424,-6.080487379149509,22113.0973233098,26144.79591836735,-2.323976634134752,0,0.0025783442699742953,0.004609528458228855,0.06201410019721381,33840,1,2,40157.09754562618,1.7942101950912523,2.9150409062303337,South East
buckinghamshire_he,buckinghamshire_he,RZQ02,Stoke Mandeville Hospital,HP21 8AL,England,-0.8008387,51.79839,E38000223,HP21,Aylesbury Vale,Acute,25013.512271869102,-1.6925778723555696,24946.495278284045,-1.668230469136424,-6.080487379149509,22113.0973233098,26144.79591836735,-2.323976634134752,0,0.0025783442699742953,0.004609528458228855,0.06201410019721381,33840,1,2,40157.09754562618,1.7942101950912523,2.9150409062303337,South East
medway_community_h,medway_community_h,VLXF4,Medway Community Healthcare,ME1 3QY,England,0.5163534,51.3770708,E38000237,ME1,Medway,Community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South East
aneurin_bevan_univ,aneurin_bevan_univ,11049,aneurin_bevan_univ,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,Acute,851.1066878980891,-0.09389657326114649,863.6762917985832,-0.18816143812770436,-2.5577437749126206,239.9449803828763,808,-0.43420459822806995,0.11848032263321971,0.2686136550418376,0.04589131588164105,0.1333150702032409,5840,3,6,5557.061040339703,3.2653927813163484,6.023885350318471,Wales
aneurin_bevan_univ,aneurin_bevan_univ,11409,aneurin_bevan_univ,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,Acute,851.1066878980891,-0.09389657326114649,863.6762917985832,-0.18816143812770436,-2.5577437749126206,239.9449803828763,808,-0.43420459822806995,0.11848032263321971,0.2686136550418376,0.04589131588164105,0.1333150702032409,5840,3,6,5557.061040339703,3.2653927813163484,6.023885350318471,Wales
aneurin_bevan_univ,NA,114090,aneurin_bevan_univ,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,Acute,851.1066878980891,-0.09389657326114649,863.6762917985832,-0.18816143812770436,-2.5577437749126206,239.9449803828763,808,-0.43420459822806995,0.11848032263321971,0.2686136550418376,0.04589131588164105,0.1333150702032409,5840,3,6,5557.061040339703,3.2653927813163484,6.023885350318471,Wales
aneurin_bevan_univ,NA,ABU11,aneurin_bevan_univ,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,Acute,851.1066878980891,-0.09389657326114649,863.6762917985832,-0.18816143812770436,-2.5577437749126206,239.9449803828763,808,-0.43420459822806995,0.11848032263321971,0.2686136550418376,0.04589131588164105,0.1333150702032409,5840,3,6,5557.061040339703,3.2653927813163484,6.023885350318471,Wales
belfast,belfast,RRRR1,Belfast,BT9 7AB,Northern Ireland,-5.9441331,54.5872059,,BT9,Belfast,Acute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northern Ireland
livewell_southwest,livewell_southwest,NR501,Mount Gould Hospital,PL4 7QD,England,-4.111707,50.3789894,E38000230,PL4,Plymouth,Community,16386.417871222075,-1.0334518857634691,16537.218276292137,-1.0478824945579135,-91.88915519735362,7836.803464365692,16438,-1.6447812480388693,0.062447188160974894,0.1259184188289752,0.026611874659314024,0.07930463897429926,86102,3,6,85286.65282522996,2.9805519053876477,5.480157687253613,South West
royal_united_hospi,NA,RD130=0,,BA1 3NG,England,-2.391191,51.39284,E38000009,BA1,Bath and North East Somerset,Acute,23278.48027444254,-1.1768844065951973,23595.764072584312,-1.3040501190068403,2.3118384692132437,18189.693327117755,25490,-1.9125486523216784,0.007862921552586128,0.0400588582856104,0.013572629760930825,0.06635192255249522,38683,2,3,49204.59348198971,2.097770154373928,3.469982847341338,South West
royal_united_hospi,NA,RD1300,,BA1 3NG,England,-2.391191,51.39284,E38000009,BA1,Bath and North East Somerset,Acute,23278.48027444254,-1.1768844065951973,23595.764072584312,-1.3040501190068403,2.3118384692132437,18189.693327117755,25490,-1.9125486523216784,0.007862921552586128,0.0400588582856104,0.013572629760930825,0.06635192255249522,38683,2,3,49204.59348198971,2.097770154373928,3.469982847341338,South West
chesterfield_royal,chesterfield_royal,RFSDA,Chesterfield Royal Hospital,S44 5BL,England,-1.3988778,53.2374705,E38000229,S44,Bolsover,Acute,17082.327772628978,-0.8025117761575533,17006.682207707327,-0.7818971932763845,-3.8186739054206345,8087.363002828692,16770.316455696207,-1.477599693277108,0.0736318539236899,0.18889772953311926,0.048734051319939756,0.1155774406605585,82803,3,5,81677.49397590362,2.8822984244670993,5.262897744825455,Midlands
nottinghamshire_he,nottinghamshire_he,RHAPA,Duncan Macmillan House,NG3 6AA,England,-1.127211,52.9791278,E38000132,NG3,Gedling,Mental,8115.557228915663,2.764784300456827,8360.240666710286,2.726405927347291,1.0494075639036313,2679.8322952074573,5602,3.0990621745923757,0.2970721015440984,0.5546322952106778,0.2767011253598534,0.5053421879089244,142977,5,9,128790.9748995984,4.214859437751004,7.994979919678715,Midlands
sherwood_forest_ho,sherwood_forest_ho,RK5BC,King's Mill Hospital,NG17 4JL,England,-1.2338334,53.13529579999999,E38000103,NG17,Ashfield,Acute,11942.593949044585,-0.35547702151273886,12041.41752491348,-0.4046734237017314,-0.43349713987436184,2096.3938113010163,10289,-0.8286261093033708,0.16493974898886712,0.35965579785681523,0.04061210023766835,0.13375620230996957,117945,4,7,108674.77707006369,3.7054140127388533,6.856687898089172,Midlands
kettering_general,kettering_general,RNQ51,Kettering General Hospital,NN16 8UZ,England,-0.7406018999999999,52.4021151,E38000108,NN16,Kettering,Acute,18624.207489878543,-1.0218950879326922,18780.940717991405,-1.0722218942610664,-0.9536421319897272,9521.981252781503,21093,-1.933357243179402,0.05196097399187419,0.13212654675756044,0.0386423163278744,0.10128162815387341,62995,2,4,73546.73127530364,2.666497975708502,4.7925101214574894,Midlands
northampton_genera,northampton_genera,RNS01,Northampton General Hospital (Acute),NN1 5BD,England,-0.8839583,52.2360619,E38000108,NN1,Northampton,Acute,18624.207489878543,-1.0218950879326922,18780.940717991405,-1.0722218942610664,-0.9536421319897272,9521.981252781503,21093,-1.933357243179402,0.05196097399187419,0.13212654675756044,0.0386423163278744,0.10128162815387341,62995,2,4,73546.73127530364,2.666497975708502,4.7925101214574894,Midlands
northamptonshire_h,northamptonshire_h,RP1V4,Berrywood Hospital,NN5 6UD,England,-0.9594591,52.2474296,E38000108,NN5,Northampton,NA,18624.207489878543,-1.0218950879326922,18780.940717991405,-1.0722218942610664,-0.9536421319897272,9521.981252781503,21093,-1.933357243179402,0.05196097399187419,0.13212654675756044,0.0386423163278744,0.10128162815387341,62995,2,4,73546.73127530364,2.666497975708502,4.7925101214574894,Midlands
lincolnshire_partn,lincolnshire_partn,RP7SG,Lincolnshire Partnership Nhs Foundation Trust Hq,LN1 1FS,England,-0.5576544999999999,53.2441893,E38000100,LN1,West Lindsey,Community,17360.960544217687,-0.9786164843047619,17621.622997097176,-0.9981230695169286,5.549646410487529,2673.6832124081784,19065,-1.927746271910596,0.09528713082228871,0.1889719393869453,0.05364894495290682,0.11541602677342896,70863,3,5,80161.8843537415,2.8244897959183675,5.193197278911565,Midlands
leicestershire_par,leicestershire_par,RT5KP,Community Rehabilitation Team (East),LE2 2PL,England,-1.1044532,52.6153126,E38000097,LE2,Leicester,Community,10001.059917355371,2.7049975292438018,9986.69234642803,2.7727299055046832,1.0393498366165679,3087.0131094626186,8762,2.864048470553957,0.20302745335962386,0.3526770817533748,0.2800758380100106,0.48301228575762173,125649,4,8,118897.86466942148,3.918388429752066,7.43801652892562,Midlands
university_hospita,university_hospita,RTG02,Burton Hospital,DE13 0RB,England,-1.6566313,52.8167197,E38000053,DE13,East Staffordshire,Acute,18496.56887755102,-0.9941049149081632,18509.528469693025,-1.022630751210474,-25.48728385165727,12018.81799662437,19203.501628664493,-1.9473617116821191,0.03481887356919875,0.16578596514047866,0.027794940166493236,0.10839945369406868,69726,3,5,74230.02551020408,2.770408163265306,4.887755102040816,Midlands
united_lincolnshir,united_lincolnshir,RWDDA,Lincoln County Hospital,LN2 5QY,England,-0.5194023999999999,53.2334176,E38000100,LN2,West Lindsey,Acute,17360.960544217687,-0.9786164843047619,17621.622997097176,-0.9981230695169286,5.549646410487529,2673.6832124081784,19065,-1.927746271910596,0.09528713082228871,0.1889719393869453,0.05364894495290682,0.11541602677342896,70863,3,5,80161.8843537415,2.8244897959183675,5.193197278911565,Midlands
united_lincolnshir,united_lincolnshir,RWDLA,Pilgrim Hospital,PE21 9QS,England,-0.0097936,52.99102,E38000099,PE21,Boston,Acute,11980.62676962677,-0.9113038448610039,12161.996492415617,-0.8724448234589529,-0.6016328860170657,4716.480359123994,10746.481366459628,-1.351436074329513,0.10812414563068388,0.2542295401899722,0.02382344279516674,0.0926652806287279,115301,4,7,108481.42084942084,3.6576576576576576,6.821106821106821,Midlands
united_lincolnshir,united_lincolnshir,RWDLP,Grantham & District Hospital,NG31 8DG,England,-0.6434263,52.9213378,E38000165,NG31,South Kesteven,Acute,19458.392764857883,-1.418449410002584,19523.063909026063,-1.4306961403592675,-2.81447965432319,15198.644095425741,19809,-1.9965012590444446,0.012309019425689686,0.03609760952870722,0.013876677560093562,0.06792355800335097,68259,2,4,69140.0645994832,2.501291989664083,4.501291989664082,Midlands
university_hospitab,university_hospitab,RWEAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1348028,52.6278166,E38000097,LE1,Leicester,Acute,10001.059917355371,2.7049975292438018,9986.69234642803,2.7727299055046832,1.0393498366165679,3087.0131094626186,8762,2.864048470553957,0.20302745335962386,0.3526770817533748,0.2800758380100106,0.48301228575762173,125649,4,8,118897.86466942148,3.918388429752066,7.43801652892562,Midlands
nottingham_univers,nottingham_univers,RX1CC,Nottingham University Hospitals Nhs Trust - City Campus,NG5 1PB,England,-1.16008,52.99022,E38000132,NG5,Nottingham,Acute,8115.557228915663,2.764784300456827,8360.240666710286,2.726405927347291,1.0494075639036313,2679.8322952074573,5602,3.0990621745923757,0.2970721015440984,0.5546322952106778,0.2767011253598534,0.5053421879089244,142977,5,9,128790.9748995984,4.214859437751004,7.994979919678715,Midlands
nottingham_univers,nottingham_univers,RX1RA,Nottingham University Hospitals Nhs Trust - Queen's Medical Centre Campus,NG7 2UH,England,-1.185,52.94435,E38000132,NG7,Nottingham,Acute,8115.557228915663,2.764784300456827,8360.240666710286,2.726405927347291,1.0494075639036313,2679.8322952074573,5602,3.0990621745923757,0.2970721015440984,0.5546322952106778,0.2767011253598534,0.5053421879089244,142977,5,9,128790.9748995984,4.214859437751004,7.994979919678715,Midlands
nottingham_univers,nottingham_univers,RXICC,Nottingham City Hospital,NG5 1PB,England,-1.1600799,52.99022309999999,E38000132,NG5,Nottingham,Acute,8115.557228915663,2.764784300456827,8360.240666710286,2.726405927347291,1.0494075639036313,2679.8322952074573,5602,3.0990621745923757,0.2970721015440984,0.5546322952106778,0.2767011253598534,0.5053421879089244,142977,5,9,128790.9748995984,4.214859437751004,7.994979919678715,Midlands
lincolnshire_commu,lincolnshire_commu,RY5HQ,Lincolnshire Community Health Services Unit 11,NG34 8GG,England,-0.3910678,53.0093245,E38000165,NG34,North Kesteven,Community,19458.392764857883,-1.418449410002584,19523.063909026063,-1.4306961403592675,-2.81447965432319,15198.644095425741,19809,-1.9965012590444446,0.012309019425689686,0.03609760952870722,0.013876677560093562,0.06792355800335097,68259,2,4,69140.0645994832,2.501291989664083,4.501291989664082,Midlands
mid_and_south_esse,mid_and_south_esse,RAJ01,Southend Hospital,SS0 0RY,England,0.6879974,51.5540749,E38000168,SS0,Southend-on-Sea,Acute,16179.379130434783,0.16197812731478262,16094.12554561264,0.17873667742303265,-13.715294008947904,4603.912264359559,14508,-0.28081839053846325,0.08881825196650889,0.22726853931290236,0.06847942507687524,0.18301489133814738,93062,3,6,86455.50956521739,3.0191304347826087,5.565217391304348,East of England
mid_and_south_esse,mid_and_south_esse,RAT01,Southend Hospital,SS0 0RY,England,0.6877328,51.55386,E38000168,SS0,Southend-on-Sea,Acute,16179.379130434783,0.16197812731478262,16094.12554561264,0.17873667742303265,-13.715294008947904,4603.912264359559,14508,-0.28081839053846325,0.08881825196650889,0.22726853931290236,0.06847942507687524,0.18301489133814738,93062,3,6,86455.50956521739,3.0191304347826087,5.565217391304348,East of England
