redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,site_type,nhs_region
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",chelsea__westminst,RMQ91,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202,SW10,Kensington and Chelsea,Acute,London
Dartford and Gravesham NHS Trust,dartford_and_grave,RN770,Dartford and Gravesham NHS Trust,DA2 8DA,England,0.258883,51.4352521,E38000043,DA2,Dartford,Acute,South East
North West Anglia NHSFT,north_west_anglia,RNG90,Peterborough City Hospital,PE3 9GZ,England,-0.2785687,52.5837926,E38000026,PE3,Peterborough,Acute,East of England
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNN62,North Cumbria Integrated Care NHSFT,CA2 7HY,England,-2.9573904,54.8964115,E38000215,CA2,Carlisle,Acute,North East and Yorkshire
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNNBD,North Cumbria Integrated Care NHSFT,CA2 7HY,England,-2.9573904,54.8964115,E38000215,CA2,Carlisle,Community,North East and Yorkshire
West Cumberland Hospital,west_cumberland_ho,RNNBX,West Cumberland Hospital,CA28 8JG,England,-3.5631756,54.5302041,E38000215,CA28,Copeland,Acute,North East and Yorkshire
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNNCL,North Cumbria Integrated Care NHSFT,CA2 7HY,England,-2.9573904,54.8964115,E38000215,CA2,Carlisle,Community,North East and Yorkshire
Royal Preston Hospital,royal_preston_hosp,RNX02,Royal Preston Hospital,PR2 9HT,England,-2.7069534,53.7903928,E38000227,PR2,Preston,Acute,North West
Lincolnshire Partnership Foundation Trust,lincolnshire_partn,RP7SG,Lincolnshire Partnership Foundation Trust,LN1 1FS,England,-0.5582749,53.2442972,E38000100,LN1,West Lindsey,Community,Midlands
University Hospitals Birmingham NHS Foundation Trust,university_hospitae,RRK01,University Hospitals Birmingham NHS Foundation Trust,B15 2TH,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,Acute,Midlands
University Hospitals Birmingham NHS Foundation Trust,university_hospitae,RRK02,Queen Elizabeth University Hospital Birmingham,B15 2GW,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,Acute,Midlands
University Hospitals Birmingham NHS Foundation Trust,university_hospitae,RRK03,University Hospitals Birmingham NHS Foundation Trust,B15 2TH,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,Acute,Midlands
University Hospitals Birmingham NHS Foundation Trust,university_hospitae,RRL02,Queen Elizabeth University Hospital Birmingham,B15 2GW,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,Acute,Midlands
Wirral University Teaching Hospital NHFT,wirral_university,RRL14,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.37042899999999,E38000208,CH49,Wirral,Acute,North West
University Hospitals Birmingham NHS Foundation Trust,NA,RR002,Queen Elizabeth University Hospital Birmingham,B15 2GW,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,Acute,Midlands
Belfast,belfast,RRRR1,Belfast,BT9 7AB,Northern Ireland,-5.9441331,54.5872059,,BT9,Belfast,Acute,Northern Ireland
Leicestershire Partnership NHS Trust,leicestershire_par,RT5KP,Leicestershire Partnership NHS Trust,LE3 9DZ,England,-1.1837338,52.654588,E38000097,LE3,Leicester,Community,Midlands
Leicestershire Partnership NHS Trust,leicestershire_par,RTGKP,Leicestershire Partnership NHS Trust,LE3 9DZ,England,-1.1837338,52.654588,E38000097,LE3,Leicester,Community,Midlands
George Eliot Hospital,george_eliot_hospi,RTL01,George Eliot Hospital,CV10 7DJ,England,-1.4760659,52.5118749,E38000195,CV10,Nuneaton & Bedworth,Acute,Midlands
Gloucestershire Health and Care NHS Foundation Trust,gloucestershire_he,RTQ04,Gloucestershire Health and Care NHS Foundation Trust,GL3 4AW,England,-2.1763204,51.8472539,E38000062,GL3,Gloucester,Community,South West
Gloucestershire Health and Care NHS Foundation Trust,gloucestershire_he,RTQ21,Gloucestershire Health and Care NHS Foundation Trust,GL3 4AW,England,-2.1763204,51.8472539,E38000062,GL3,Gloucester,Community,South West
Gloucestershire Health and Care NHS Foundation Trust,gloucestershire_he,RTQ85,Gloucestershire Health and Care NHS Foundation Trust,GL3 4AW,England,-2.1763204,51.8472539,E38000062,GL3,Gloucester,Community,South West
Gloucestershire Health and Care NHS Foundation Trust,gloucestershire_he,RTQ87,Gloucestershire Health and Care NHS Foundation Trust,GL3 4AW,England,-2.1763204,51.8472539,E38000062,GL3,Gloucester,Community,South West
South Tees Hospital NHS Foundation Trust,south_tees_hospita,RTRTA,South Tees Hospital NHS Foundation Trust,TS4 3BW,England,-1.2172468,54.5526198,E38000162,TS4,Middlesbrough,Acute,North East and Yorkshire
North West Boroughs Healthcare NHSFT,north_west_borough,RTV33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,WA2,Warrington,Community,North West
East Kent Hospitals NHSFT,east_kent_hospital,RV001,William Harvey Hospital (Ashford),TN24 0LZ,England,0.9162230491638184,51.14148712158203,E38000002,TN24,Ashford,Acute,South East
Humber Teaching NHS Foundation Trust,humber_teaching_nh,RV901,Humber Teaching NHS Foundation Trust,YO25 9LH,England,-0.4752873,53.9896444,E38000052,YO25,East Riding of Yorkshire,Community,North East and Yorkshire
North West Boroughs Healthcare NHSFT,north_west_borough,RVT33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,WA2,Warrington,Community,North West
Lancashire & South Cumbria NHS Foundation Trust,lancashire__south,RW5JJ,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,PR2,Preston,Community,North West
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,rw602,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,Acute,North West
Warrington and Halton Teaching Hospitals NHS Foundation Trust,warrington_and_hal,RWHHH,Warrington and Halton Teaching Hospitals NHS Foundation Trust,WA5 1QG,England,-2.6108215,53.3940422,E38000194,WA5,Warrington,Acute,North West
Hertfordshire Partnership NHS Foundation Trust,hertfordshire_part,RWR99,Hertfordshire Partnership NHS Foundation Trust,AL3 5TQ,England,-0.3451309,51.7625796,E38000079,AL3,St Albans,Mental,East of England
Calderdale and Huddersfield NHS Trust,calderdale_and_hud,RWy01,Calderdale and Huddersfield NHS Trust,HD3 3EA,England,-1.8189892,53.65571629999999,E38000064,HD3,Kirklees,Acute,North East and Yorkshire
Sussex Partnership NHS Foundation Trust,sussex_partnership,RX219,Sussex Partnership NHS Foundation Trust,BN11 1RY,England,-0.3720101,50.8125717,E38000213,BN11,Worthing,Community,South East
Cheshire and Wirral Partnership NHSFT,cheshire_and_wirra,RXADT,Cheshire and Wirral Partnership NHSFT,CH2 1BQ,England,-2.8998958,53.2120533,E38000196,CH2,Cheshire West and Chester,Community,North West
Cheshire and Wirral Partnership NHSFT,cheshire_and_wirra,RXADY,Cheshire and Wirral Partnership NHSFT,CH2 1BQ,England,-2.8998958,53.2120533,E38000196,CH2,Cheshire West and Chester,Community,North West
Royal Preston Hospital,royal_preston_hosp,RXB02,Royal Preston Hospital,PR2 9HT,England,-2.7069534,53.7903928,E38000227,PR2,Preston,Acute,North West
The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,the_queen_elizabet,RXC70,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,PE30 4ET,England,0.4462588,52.75653639999999,E38000203,PE30,West Norfolk,Acute,East of England
Rotherham Doncaster and South Humber NHSFT,rotherham_doncaste,RXE07,Rotherham Doncaster and South Humber NHSFT,DN4 8QN,England,-1.1459607,53.4948158,E38000044,DN4,Doncaster,Community,North East and Yorkshire
Rotherham Doncaster and South Humber NHSFT,rotherham_doncaste,RXE92,Rotherham Doncaster and South Humber NHSFT,DN4 8QN,England,-1.1459607,53.4948158,E38000044,DN4,Doncaster,Community,North East and Yorkshire
Nottingham University Hosptials NHS Trust,nottingham_univers,RXICC,Nottingham University Hosptials NHS Trust,NG5 1PB,England,-1.1570212,52.9904528,E38000132,NG5,Nottingham,Acute,Midlands
Nottingham University Hosptials NHS Trust,nottingham_univers,RXRXA,Nottingham University Hosptials NHS Trust,NG5 1PB,England,-1.1570212,52.9904528,E38000132,NG5,Nottingham,Acute,Midlands
Birmingham and Solihull Mental Health NHSFT,birmingham_and_sol,RXTC1,Birmingham and Solihull Mental Health NHSFT,B24 9SA,England,-1.8338131,52.5160053,E38000220,B24,Birmingham,Community,Midlands
Surrey and Borders partnership NHSFT,surrey_and_borders,RXX10,Surrey and Borders partnership NHSFT,RH1 1TA,England,-0.1717138,51.2396572,E38000054,RH1,Reigate and Banstead,Community,South East
Kent and Medway NHS and Social Care Partnership Trust,kent_and_medway_nh,RXY6J,Kent and Medway NHS and Social Care Partnership Trust,ME7 4JL,England,0.5582043,51.3796634,E38000104,ME7,Medway,Community,South East
Lincolnshire Community Health Services NHS Trust,lincolnshire_commu,RY5HQ,Lincolnshire Community Health Services NHS Trust,LN5 7JH,England,-0.5241828,53.2265336,E38000100,LN5,Lincoln,Community,Midlands
Leeds community healthcare NHSFT,leeds_community_he,RY651,Leeds community healthcare NHSFT,LS12 5SG,England,-1.6011659,53.7824956,E38000225,LS12,Leeds,Community,North East and Yorkshire
Hounslow and Richmond Community Healthcare NHS Trust,hounslow_and_richm,RY901,Hounslow and Richmond Community Healthcare NHS Trust,TW11 8HU,England,-0.3260077,51.4274856,E38000140,TW11,Richmond upon Thames,Community,London
Coventry & Warwickshire Partnership Trust,coventry__warwicks,RYGHQ,Caludon Centre,CV2 2TE,England,-1.4452332,52.4225547,E38000038,CV2,Coventry,Community,Midlands
The Royal Marsden NHS Trust,the_royal_marsden,RYP01,The Royal Marsden NHS Trust,SW3 6JJ,England,-0.1727977,51.4908714,E38000202,SW3,Kensington and Chelsea,Acute,London
Calderdale and Huddersfield NHS Trust,calderdale_and_hud,RYW01,Calderdale and Huddersfield NHS Trust,HD3 3EA,England,-1.8189892,53.65571629999999,E38000064,HD3,Kirklees,Acute,North East and Yorkshire
NHS Lothian,nhs_lothian,S134H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh,Acute,Scotland
NHS Lothian,nhs_lothian,S214H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh,Acute,Scotland
NHS Lothian,nhs_lothian,S341H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh,Acute,Scotland
NHS Lothian,nhs_lothian,SL116,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,EH4,Edinburgh,Acute,Scotland
Mid and South Essex University Hospitals Group,mid_and_south_esse,TAJ01,Southend Hospital,SS0 0RY,England,0.6877328,51.55386,E38000168,SS0,Southend-on-Sea,Acute,East of England
Medway Community Healthcare,medway_community_h,VLXF4,Medway Community Healthcare,ME1 3QY,England,0.5163534,51.3770708,E38000237,ME1,Medway,Community,South East
Bronglais General Hospital,bronglais_general,WB2AJ,Bronglais General Hospital,SY23 1ER,Wales,-4.0711821,52.4164121,W11000025,SY23,Ceredigion,Acute,Wales
Prince Philip Hospital,prince_philip_hosp,WB3AL,Prince Philip Hospital,SA14 8QF,Wales,-4.134687,51.6922205,W11000025,SA14,Carmarthenshire,Acute,Wales
Withybush General Hospital,withybush_general,WF1BL,Withybush General Hospital,SA61 2PZ,Wales,-4.9664014,51.81300479999999,W11000025,SA61,Pembrokeshire,Acute,Wales
Glan Clwyd Hospital,glan_clwyd_hospita,7A1A1,Ysbyty Glan Clwyd,LL18 5UJ,Wales,-3.4971896,53.27265509999999,W11000023,LL18,Conwy,Acute,Wales
Wrexham Maelor Hospital,wrexham_maelor_hos,7A1A4,Wrexham Maelor Hospital,LL13 7TD,Wales,-3.0101803,53.0461734,W11000023,LL13,Wrexham,Acute,Wales
Wrexham Maelor Hospital,wrexham_maelor_hos,7A1A7,Chirk Community Hospital,LL14 5LN,Wales,-3.0497713,52.94306479999999,W11000023,LL14,Wrexham,Community,Wales
Glan Clwyd Hospital,glan_clwyd_hospita,7A1A8,Colwyn Bay Community Hospital,LL29 8AY,Wales,-3.7101306,53.2879873,W11000023,LL29,Conwy,Acute,Wales
Glan Clwyd Hospital,glan_clwyd_hospita,7A1A9,Denbigh Community Hospital,LL16 3ES,Wales,-3.4094959,53.1860328,W11000023,LL16,Denbighshire,Acute,Wales
Glan Clwyd Hospital,glan_clwyd_hospita,7A1AB,Holywell Community Hospital,CH8 7TZ,Wales,-3.215942,53.2694319,W11000023,CH8,Flintshire,Community,Wales
Wrexham Maelor Hospital,wrexham_maelor_hos,7A1AD,Mold Community Hospital,CH7 1RH,Wales,-3.1470377,53.1696683,W11000023,CH7,Flintshire,Community,Wales
Glan Clwyd Hospital,glan_clwyd_hospita,7A1AF,Ruthin Community Hospital,LL15 1PS,Wales,-3.3028192,53.113277,W11000023,LL15,Denbighshire,Community,Wales
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7A1AU,Ysbyty Gwynedd,LL57 2PW,Wales,-4.1577568,53.2086374,W11000023,LL57,Gwynedd,Acute,Wales
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7A1AV,Llandudno General Hospital Site,LL30 1LB,Wales,-3.8287232,53.3097232,W11000023,LL30,Conwy,Acute,Wales
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7A1AX,Bryn Beryl Hospital,LL53 6TT,Wales,-4.400593,52.9094906,W11000023,LL53,Gwynedd,Community,Wales
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7A1AY,Dolgellau & Barmouth District Hospital Site,LL40 1NT,Wales,-3.8815696,52.7409311,W11000023,LL40,Gwynedd,Acute,Wales
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7A1CA,Ysbyty Alltwen,LL49 9RN,Wales,-4.1482957,52.9380429,W11000023,LL49,Gwynedd,Community,Wales
Wrexham Maelor Hospital,wrexham_maelor_hos,7A1CC,Deeside Community Hospital,CH5 1XS,Wales,-3.0382829,53.2011159,W11000023,CH5,Flintshire,Community,Wales
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7A1DC,Ysbyty Penrhos Stanley,LL65 2QA,Wales,-4.6150793,53.3048702,W11000023,LL65,Anglesey,Community,Wales
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7A1DD,Cefni Hospital,LL77 7PP,Wales,-4.3044967,53.2567261,W11000023,LL77,Anglesey,Acute,Wales
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7A1DG,Eryri Hospital,LL55 2YE,Wales,-4.2618395,53.1294717,W11000023,LL55,Gwynedd,Community,Wales
Glangwili General Hospital,glangwili_general,7A2AA,Glangwili Hospital Child Health Section,SA31 2AF,Wales,-4.2833874,51.8673069,W11000025,SA31,Carmarthenshire,Acute,Wales
"Morriston Hospital, Swansea",morriston_hospital,7A3YA,Abertawe Bro Morgannwg University Lhb Bridgend Locality Office,CF31 3TP,Wales,-3.5506886,51.5024646,W11000030,CF31,Bridgend,Acute,Wales
Cardiff and Vale University Health Board,cardiff_and_vale_u,7A4BV,University Hospital Of Wales,CF14 4XW,Wales,-3.1889835,51.5062635,W11000029,CF14,Cardiff,Acute,Wales
Cardiff and Vale University Health Board,cardiff_and_vale_u,7A4H1,Noahs Ark Childrens Hospital For Wales,CF14 4XW,Wales,-3.1889835,51.5062635,W11000029,CF14,Cardiff,Acute,Wales
Cwm Taf Morgannwg University Health Board,cwm_taf_morgannwg,7A5B1,The Royal Glamorgan Hospital,CF72 8XR,Wales,-3.3905151,51.54798839999999,W11000030,CF72,Rhondda Cynon Taf,Acute,Wales
Cwm Taf Morgannwg University Health Board,cwm_taf_morgannwg,7A5B3,Prince Charles Hospital Site,CF47 9DT,Wales,-3.3861006,51.76433309999999,W11000030,CF47,Merthyr Tydfil,Acute,Wales
Cwm Taf Morgannwg University Health Board,cwm_taf_morgannwg,7A5CA,Ysbyty Cwm Rhondda,CF40 2LU,Wales,-3.4485196,51.6358678,W11000030,CF40,Rhondda Cynon Taf,Community,Wales
Cwm Taf Morgannwg University Health Board,cwm_taf_morgannwg,7A5HA,Ysbyty Cwm Cynon,CF45 4BZ,Wales,-3.3436056,51.6563332,W11000030,CF45,Rhondda Cynon Taf,Community,Wales
NHS Ayrshire and Arran,nhs_ayrshire_and_a,A103H,Ayrshire Central Hospital,KA12 8SS,Scotland,-4.6748227,55.6349014,S08000015,KA12,North Ayrshire,Community,Scotland
NHS Ayrshire and Arran,nhs_ayrshire_and_a,A111H,University Hospital Crosshouse,KA2 0BE,Scotland,-4.540130899999999,55.6135442,S08000015,KA2,East Ayrshire,Acute,Scotland
NHS Ayrshire and Arran,nhs_ayrshire_and_a,A210H,University Hospital Ayr,KA6 6DX,Scotland,-4.5939607,55.428935,S08000015,KA6,East Ayrshire,Acute,Scotland
NHS Ayrshire and Arran,nhs_ayrshire_and_a,A215H,East Ayrshire Community Hospital,KA18 1EF,Scotland,-4.271658,55.4515313,S08000015,KA18,East Ayrshire,Community,Scotland
Borders General Hospital,borders_general_ho,B120H,Borders General Hospital,TD6 9BS,Scotland,-2.7419408,55.5954785,S08000016,TD6,Scottish Borders,Acute,Scotland
NHS Highland,nhs_highland,C106H,Cowal Community Hospital,PA23 7RL,Scotland,-4.927129,55.9569856,S08000022,PA23,Argyllshire,Community,Scotland
NHS Highland,nhs_highland,C121H,Lorn & Islands Hospital,PA34 4HH,Scotland,-5.4750995,56.4007089,S08000022,PA34,Argyllshire,Acute,Scotland
NHS Highland,nhs_highland,C122H,Campbeltown Hospital,PA28 6LE,Scotland,-5.606007399999999,55.4209057,S08000022,PA28,Argyllshire,Acute,Scotland
Golden Jubilee National Hospital,golden_jubilee_nat,D102H,Golden Jubilee National Hospital,G81 4DY,Scotland,-4.420353899999999,55.9059298,S08000031,G81,West Dunbartonshire,Acute,Scotland
Victoria Hospital Kirkcaldy,victoria_hospital,F701H,Cameron Hospital,KY8 5RR,Scotland,-3.0606955,56.1866783,S08000029,KY8,Fife,Acute,Scotland
Victoria Hospital Kirkcaldy,victoria_hospital,F704H,Victoria Hospital,KY2 5AH,Scotland,-3.1601871,56.1244623,S08000029,KY2,Fife,Acute,Scotland
Victoria Hospital Kirkcaldy,victoria_hospital,F708H,Adamson Hospital,KY15 4JG,Scotland,-3.0181746,56.3244035,S08000029,KY15,Fife,Acute,Scotland
Victoria Hospital Kirkcaldy,victoria_hospital,F716H,Glenrothes Hospital,KY7 5TG,Scotland,-3.182677,56.2049141,S08000029,KY7,Fife,Acute,Scotland
Victoria Hospital Kirkcaldy,victoria_hospital,F805H,Queen Margaret Hospital,KY12 0SU,Scotland,-3.4275625,56.0824334,S08000029,KY12,Fife,Community,Scotland
"Queen Elizabeth University Hospital, Glasgow University Hospital Monklands Airdrie",queen_elizabeth_un,G405H,Queen Elizabeth University Hospital,G51 4TF,Scotland,-4.3392518,55.8626363,S08000031,G51,Glasgow,Acute,Scotland
NHS Highland,nhs_highland,H103H,Caithness General Hospital,KW1 5NS,Scotland,-3.0955804,58.44157999999999,S08000022,KW1,Highland,Acute,Scotland
NHS Highland,nhs_highland,H201H,Rni Community Hospital,IV3 5SF,Scotland,-4.231586399999999,57.47064259999999,S08000022,IV3,Highland,Community,Scotland
NHS Highland,nhs_highland,H202H,Raigmore Hospital,IV2 3UJ,Scotland,-4.1928874,57.4741487,S08000022,IV2,Highland,Acute,Scotland
